2024-01-20 16:02:55,467 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-20 16:02:55,468 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Configure stats pid to 15556
2024-01-20 16:02:55,468 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mich0003\.config\wandb\settings
2024-01-20 16:02:55,468 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Loading settings from C:\Users\mich0003\Repos\BachelorPP\proactive\wandb\settings
2024-01-20 16:02:55,468 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'gmm_1.1', 'entity': 'teammfeit', 'root_dir': 'C:\\Users\\mich0003\\Repos\\BachelorPP\\proactive', 'run_id': '9zid2nm7', 'sweep_param_path': 'C:\\Users\\mich0003\\Repos\\BachelorPP\\proactive\\wandb\\sweep-7380n7ve\\config-9zid2nm7.yaml', 'sweep_id': '7380n7ve'}
2024-01-20 16:02:55,468 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-20 16:02:55,468 INFO    Thread-188:15556 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'MainWAndB.py', 'program_abspath': 'C:\\Users\\mich0003\\Repos\\BachelorPP\\proactive\\MainWAndB.py', 'program': 'MainWAndB.py'}
2024-01-20 16:02:55,469 INFO    Thread-188:15556 [wandb_init.py:_log_setup():526] Logging user logs to C:\Users\mich0003\Repos\BachelorPP\proactive\wandb\run-20240120_160255-9zid2nm7\logs\debug.log
2024-01-20 16:02:55,469 INFO    Thread-188:15556 [wandb_init.py:_log_setup():527] Logging internal logs to C:\Users\mich0003\Repos\BachelorPP\proactive\wandb\run-20240120_160255-9zid2nm7\logs\debug-internal.log
2024-01-20 16:02:55,469 INFO    Thread-188:15556 [wandb_init.py:init():566] calling init triggers
2024-01-20 16:02:55,469 INFO    Thread-188:15556 [wandb_init.py:init():574] wandb.init called with sweep_config: {'batch_size': 4, 'd_k': 32, 'd_model': 128, 'data': 'data/Breakfast/', 'device': 'cuda', 'dropout': 0.1, 'epochs': 50, 'learning_rate': 5e-05, 'n_head': 4, 'n_layers': 4, 'num_mix_components': 16, 'smooth': 0}
config: {}
2024-01-20 16:02:55,469 INFO    Thread-188:15556 [wandb_init.py:init():616] starting backend
2024-01-20 16:02:55,469 INFO    Thread-188:15556 [wandb_init.py:init():620] setting up manager
2024-01-20 16:02:55,479 INFO    Thread-188:15556 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=spawn, using: spawn
2024-01-20 16:02:55,479 INFO    Thread-188:15556 [wandb_init.py:init():628] backend started and connected
2024-01-20 16:02:55,497 INFO    Thread-188:15556 [wandb_run.py:_config_callback():1342] config_cb None None {'batch_size': 4, 'd_k': 32, 'd_model': 128, 'data': 'data/Breakfast/', 'device': 'cuda', 'dropout': 0.1, 'epochs': 50, 'learning_rate': 5e-05, 'n_head': 4, 'n_layers': 4, 'num_mix_components': 16, 'smooth': 0}
2024-01-20 16:02:55,497 INFO    Thread-188:15556 [wandb_init.py:init():720] updated telemetry
2024-01-20 16:02:55,541 INFO    Thread-188:15556 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-20 16:02:55,954 INFO    Thread-188:15556 [wandb_run.py:_on_init():2254] communicating current version
2024-01-20 16:02:56,035 INFO    Thread-188:15556 [wandb_run.py:_on_init():2263] got version response 
2024-01-20 16:02:56,035 INFO    Thread-188:15556 [wandb_init.py:init():804] starting run threads in backend
2024-01-20 16:02:58,275 INFO    Thread-188:15556 [wandb_run.py:_console_start():2233] atexit reg
2024-01-20 16:02:58,275 INFO    Thread-188:15556 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-20 16:02:58,275 INFO    Thread-188:15556 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-20 16:02:58,275 INFO    Thread-188:15556 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-20 16:02:58,276 INFO    Thread-188:15556 [wandb_init.py:init():847] run started, returning control to user process
2024-01-20 16:11:28,253 INFO    Thread-188:15556 [wandb_run.py:_finish():1962] finishing run teammfeit/gmm_1.1/9zid2nm7
2024-01-20 16:11:28,253 INFO    Thread-188:15556 [wandb_run.py:_atexit_cleanup():2202] got exitcode: 0
2024-01-20 16:11:28,254 INFO    Thread-188:15556 [wandb_run.py:_restore():2185] restore
2024-01-20 16:11:28,254 INFO    Thread-188:15556 [wandb_run.py:_restore():2191] restore done
2024-01-20 16:11:36,358 INFO    Thread-188:15556 [wandb_run.py:_footer_history_summary_info():3857] rendering history
2024-01-20 16:11:36,359 INFO    Thread-188:15556 [wandb_run.py:_footer_history_summary_info():3889] rendering summary
2024-01-20 16:11:36,366 INFO    Thread-188:15556 [wandb_run.py:_footer_sync_info():3816] logging synced files
